block_size,array_size,cuda_time_ms,openmp_time_ms,speedup_openmp_over_cuda
126,4096,64.5485,4.1928,0.06496
126,8192,0.0226,1.0561,46.73009
126,16384,0.0310,1.2823,41.36452
126,32768,0.0525,1.8160,34.59048
126,65536,0.0958,3.1925,33.32463
126,131072,0.1844,5.3702,29.12256
126,262144,0.3494,9.0177,25.80910
126,524288,0.6909,16.8030,24.32045
126,1048576,1.3585,32.2050,23.70629
126,2097152,2.7011,63.2631,23.42123
126,4194304,5.4000,124.7315,23.09843
126,8388608,10.7616,248.4025,23.08230
256,4096,0.0253,5.0888,201.13834
256,8192,0.0207,1.9715,95.24155
256,16384,0.0305,2.1959,71.99672
256,32768,0.0511,2.7764,54.33268
256,65536,0.0936,3.8828,41.48291
256,131072,0.1782,5.9098,33.16386
256,262144,0.3515,10.5139,29.91152
256,524288,0.6899,18.2004,26.38150
256,1048576,1.3604,33.8144,24.85504
256,2097152,2.6965,64.7686,24.02055
256,4194304,5.3771,126.7972,23.58096
256,8388608,10.7456,249.6624,23.23443
512,4096,0.0341,11.9996,351.89443
512,8192,0.0198,4.8417,244.53030
512,16384,0.0306,6.1794,201.94118
512,32768,0.0513,6.9811,136.08382
512,65536,0.0937,8.1259,86.72252
512,131072,0.1769,9.9008,55.96834
512,262144,0.3445,13.9216,40.41065
512,524288,0.6906,21.4268,31.03562
512,1048576,1.3603,36.7110,26.98669
512,2097152,2.7027,67.2559,24.88470
512,4194304,5.3830,129.6492,24.08493
512,8388608,10.7400,253.5829,23.61014
1024,4096,0.0205,24.6636,1203.10244
1024,8192,0.0199,11.6039,583.11055
1024,16384,0.0304,12.6479,416.04934
1024,32768,0.0510,12.1682,238.59216
1024,65536,0.0937,12.0199,128.28068
1024,131072,0.1788,14.6371,81.86300
1024,262144,0.3488,20.2322,58.00516
1024,524288,0.6844,27.8457,40.68688
1024,1048576,1.3605,44.3693,32.61250
1024,2097152,2.7078,73.9886,27.32315
1024,4194304,5.3848,136.0243,25.26079
1024,8388608,10.7421,259.3851,24.14752
